qid,question_prompt
q_c_fct,"Answer with a yes, no or don't know, followed by a reason in 1 sentence or less. Separate the yes/no/don't know from the reason with a ""|"". Does the text express any statements of fact?"
q_c_blf,"Answer with a yes, no or don't know, followed by a reason in 1 sentence or less. Separate the yes/no/don't know from the reason with a ""|"". Does the text express belief?"
q_c_bhvrint_slf,"Answer with a yes, no or don't know, followed by a reason in 1 sentence or less. Separate the yes/no/don't know from the reason with a ""|"". Does the text express an intention to execute a behaviour by the writer?"
q_c_bhvrinst_otr,"Answer with a yes, no or don't know, followed by a reason in 1 sentence or less. Separate the yes/no/don't know from the reason with a ""|"". Does the text ask or instruct others to execute a behaviour?"
q_c_bhvrslf,"Answer with a yes, no or don't know, followed by a reason in 1 sentence or less. Separate the yes/no/don't know from the reason with a ""|"". Does the text describe an action already undertaken by the writer?"
q_a_cit_ownxp,"Answer with a yes, no or don't know, followed by a reason in 1 sentence or less. Separate the yes/no/don't know from the reason with a ""|"". If the text expresses belief, does the author cite their own experiences to substantiate the belief? If the text doesn't express belief, respond with ""no belief"""
q_a_cit_obs,"Answer with a yes, no or don't know, followed by a reason in 1 sentence or less. Separate the yes/no/don't know from the reason with a ""|"". If the text expresses belief, does the author cite their observations of the world around them to substantiate the belief? If the text doesn't express belief, respond with ""no belief"""
q_a_cit_scnc,"Answer with a yes, no or don't know, followed by a reason in 1 sentence or less. Separate the yes/no/don't know from the reason with a ""|"". If the text expresses belief, does the author cite reports from scientific sources to substantiate their beliefs? If the text doesn't express belief, respond with ""no belief"""
q_a_txtemo,"Answer with a yes, no or don't know, followed by elaboration in 1 sentence or less. Separate the yes/no/don't know from the elaboration with a ""|"". Is there use of emotionally charged language in the text?"
q_a_qrhet,"Answer with a yes, no or don't know, followed by elaboration in 1 sentence or less. Separate the yes/no/don't know from the elaboration with a ""|"". Does the author ask questions to the reader?"
q_a_addrs,"Answer with a yes, no or don't know, followed by elaboration in 1 sentence or less. Separate the yes/no/don't know from the elaboration with a ""|"". Does the author directly address the reader in the text?"
q_nert,"Please list out the named entities in the text, separating each one by a comma"
